slot,median_volume_norm,mean_volume_norm,mean_abs_return_norm,realized_variance_norm,mean_hl_range_norm,rms_return_norm,median_volume_norm_p25,median_volume_norm_p75,mean_volume_norm_p25,mean_volume_norm_p75,mean_abs_return_norm_p25,mean_abs_return_norm_p75,realized_variance_norm_p25,realized_variance_norm_p75,mean_hl_range_norm_p25,mean_hl_range_norm_p75,rms_return_norm_p25,rms_return_norm_p75
09:30,3.836024073810048,3.902121702699328,,,3.1702088694113164,,3.3302050534662264,4.385154075119123,3.369324972583547,4.516613712324071,,,,,3.0480517019165028,3.6424825267090006,,
09:35,2.163606076858153,2.1227393321858767,2.252829149715596,4.323502949614078,2.2229455887557195,2.149397309353565,2.0624540281061754,2.3170164322886686,1.9561706510140358,2.326331349150886,2.167318153065932,2.4967804955922484,3.776138088860078,5.131257535980994,2.172931873813198,2.42036848274158,2.0205666721527824,2.3883841684485363
09:40,1.907318684097017,1.879977580726553,2.0227847459280777,3.390617714848729,1.966773157806908,1.9171008591854897,1.8261686342503523,2.020597533510095,1.7725042027420508,2.0289372410030655,1.9934761816088926,2.167471528144175,3.219612642248996,3.86191932377732,1.9074506927405834,2.118605346462245,1.8676792314941983,2.0781955741866125
09:45,1.8226049255603405,1.788009203473017,1.9260981676357203,3.029269316083006,1.877477487655043,1.8145961419466088,1.7524062758856704,1.9213782645053537,1.7051956126280907,1.8825482501592747,1.903423077727627,2.035564313360828,2.868080975556258,3.3879905722330905,1.8412794459475572,1.9667435707545686,1.7647423901883272,1.9398823099571632
09:50,1.6279427802031388,1.6192034201458634,1.726304560591139,2.4607750240357826,1.6958802054518536,1.6362687464706598,1.5270433363069749,1.7005889967652363,1.544241403967795,1.7003129063556714,1.709105122192399,1.8162058462672603,2.325773750841615,2.7430213752206916,1.6641836947270903,1.7867099513522824,1.5864945664996033,1.7587172506969102
09:55,1.4844298469779893,1.4605367804183906,1.5202795353011431,1.9123646306883335,1.506296977201098,1.442514317998986,1.418968035904465,1.5670291613621634,1.3716637017178015,1.552006107462445,1.5057673260923132,1.6020482992992826,1.7830817100864877,2.106632513381089,1.4594859435164804,1.5793686284287567,1.3886224822668098,1.5228110546466884
10:00,1.6397238332560258,1.5944819160310397,1.7341273671018265,2.4821274036199372,1.7156945878069163,1.646623014265316,1.5703311658495576,1.7061389085473695,1.5180512210771913,1.6626241503118098,1.6697476721283506,1.7788673743664343,2.342399152455397,2.559765331562548,1.6847717651284282,1.7485951832580287,1.5920176717155625,1.6895681905310362
10:05,1.4242940649586997,1.3882614979204757,1.5162807199008237,1.9586606181087094,1.4921382951981874,1.462708109835167,1.3445620892593033,1.495542706226434,1.3215057148886062,1.4529869202373116,1.5009657496605333,1.564167230841539,1.89722387584207,2.059181665607344,1.472743183588737,1.5261288412019136,1.4210515508889898,1.5131137774256938
10:10,1.3566367882068444,1.3347078293475374,1.5068086054738983,2.3906926970372946,1.4567966608148877,1.6133223131226553,1.282295666940413,1.4056061040956438,1.2769391983084148,1.399714805467206,1.492256351239654,1.5386248988105464,2.1945632594525266,2.5419712423135215,1.4352452250119585,1.490499170226494,1.5619243698730023,1.6391848955220174
10:15,1.2965457072360658,1.271770279747524,1.379256589929055,1.5920355727212698,1.3596421641981504,1.3183917685389683,1.2449060093724014,1.3294205848995948,1.2244541868099597,1.2999672045798456,1.371812507460048,1.4077829612945325,1.5021573026231483,1.692358532559465,1.3433750989593514,1.3907830574831819,1.2679276653438853,1.3695238176447766
10:20,1.2263631843485034,1.2086605707332625,1.37486158866283,1.8897839675201116,1.3264788840978012,1.43612163001951,1.159500385063898,1.2668667543098229,1.160574493707346,1.2497556412796926,1.3483051237163362,1.4005580611541704,1.7938579914818464,1.9668236357408404,1.3089947134768614,1.3542850158082291,1.40039126180706,1.4598287598993913
10:25,1.170528528920977,1.1634121520314722,1.2973770574842431,1.3882554627912913,1.2640020384047896,1.2313258654212471,1.1132495054763032,1.196087115931161,1.1093171904600307,1.191813214674968,1.2591692148065945,1.3254159601584115,1.2920557082147042,1.4559971755584948,1.228081877714599,1.288615029953488,1.1973701826396246,1.2690467229472107
10:30,1.2088202066891374,1.190513795872471,1.3084445452214195,1.419977217042957,1.2872679407880874,1.2452862788129357,1.1626109182978697,1.236860465715653,1.138743100888298,1.2121290025252756,1.3019511727013053,1.3273030330230937,1.3698673046475096,1.4814911597692038,1.2695544457664938,1.3051090055734424,1.208278896138,1.2790326263303833
10:35,1.1197331209304486,1.1102424514576907,1.2602023554687667,1.3567695076709079,1.2212516443664179,1.2175726145338543,1.072961715735905,1.1468936684095172,1.0734526026899462,1.1271497738135239,1.253008393909079,1.2880962853753217,1.3368825154320942,1.4129938770264951,1.2096894066535842,1.2434512313352895,1.2087046889460396,1.2412704975414615
10:40,1.0767573052815307,1.0649326960198278,1.2052909279822908,1.2632445544159012,1.169120160454076,1.1750508580996648,1.033721275832327,1.1034799820028698,1.0221495311470876,1.080735221210484,1.1816924682489707,1.2336800788906823,1.2243966176690748,1.3171598299306946,1.1484117833567666,1.1903131274217884,1.140527430683777,1.2071045558751914
10:45,1.0425455582802223,1.0472211661212125,1.1863003558470295,1.2107444571684791,1.1551477426369459,1.1500981035243596,0.9949662756458131,1.0730525680371201,1.0049915736727424,1.0645831130016186,1.1728899697949031,1.2048461065897274,1.1520225257881733,1.2429770741898343,1.1392932963960785,1.1691035573670028,1.117207089455847,1.165891586486222
10:50,1.0110900549745805,1.0199948810259525,1.1964297871411544,1.3059266191100187,1.1258211956011936,1.1940371304928576,0.9623979760373677,1.0489749638537558,0.9763318976958137,1.0438419005165283,1.1679511412726364,1.2324066331723502,1.2521960163123285,1.3726389604566132,1.1067257228318772,1.1422281418705613,1.1658541453727314,1.2202252074787214
10:55,0.9839555898709933,0.9865481909081586,1.1006074719897865,1.0353494275696808,1.0559185443311383,1.0637598601450693,0.9581838935055156,1.0135509105873366,0.955325240878691,1.015787033266769,1.0907254599856622,1.1163093869298915,0.9874191886239578,1.0701111965488164,1.0533350427265415,1.0676329575998325,1.0366496116779607,1.0896931436030783
11:00,1.0144932976251966,1.020337725541428,1.1588823636786116,1.1675820669046917,1.1241871957859388,1.1297441479012287,0.9711253325509297,1.0568033366314693,0.9778838920405808,1.0453906061192981,1.1436755433269865,1.180898191127364,1.1072077465040648,1.2083868616188163,1.1159250349767464,1.1334746821568458,1.0981287623753182,1.1617626692007088
11:05,0.9407366879116527,0.9463875512125383,1.1215476201811658,1.1412706813653042,1.0647237687015167,1.1162732051808233,0.9125246391382162,0.9694596319797866,0.9113160433307963,0.9631020215871703,1.1132108320245193,1.1337321857015605,1.0969236508660056,1.1896643628388632,1.0616793147444554,1.0724410439304255,1.1001210237122945,1.1334777620607746
11:10,0.9112546630131501,0.9249720769687427,1.0693623017707223,1.0489995612479481,1.0197568772917438,1.0706106393459438,0.8848496597497524,0.9349639323083393,0.9001901297045006,0.95333741014229,1.0552387108311096,1.0838312750887042,1.0305348793634748,1.0552410367878537,1.0148375101426375,1.0290409030104026,1.053353884640006,1.0822685979601336
11:15,0.9055429446707338,0.9105130703868888,1.0086584326990293,0.8805988090522678,0.9926210513208623,0.9811808235451541,0.8828419042063886,0.9135979777799235,0.885726528102412,0.9194599649562658,0.9878581451040014,1.0290797302889443,0.8539819577404315,0.913211968799635,0.9815504261156102,1.0011685319362815,0.9610244070661422,1.0063496808766565
11:20,0.8714146011944788,0.8725402467337204,1.014047371644217,0.8881425917072936,0.972181175628772,0.9852485037707805,0.8507219437470217,0.8910911974416214,0.843470362401509,0.8871463820580924,1.0001362283374458,1.0279989854137632,0.8771572200978676,0.9107717011976136,0.9659239509051978,0.9790445955271235,0.9662339570868574,1.0072431115870295
11:25,0.857179656524904,0.8695190065944233,0.9740268104619085,0.8208237978012644,0.938916979981807,0.9473527576115508,0.8342132829495895,0.8790396990362151,0.8565894295415144,0.8815549875808467,0.9630135796097726,0.980791712347778,0.8097038593003846,0.8342521936653868,0.9321689315922832,0.942711179463458,0.9370304966423555,0.961435282803905
