ticker,median_volume_norm_open,median_volume_norm_midday,median_volume_norm_close,median_volume_norm_close30,median_volume_norm_close_over_midday,median_volume_norm_open_over_midday,mean_abs_return_norm_open,mean_abs_return_norm_midday,mean_abs_return_norm_close,mean_abs_return_norm_close30,mean_abs_return_norm_close_over_midday,mean_abs_return_norm_open_over_midday,mean_hl_range_norm_open,mean_hl_range_norm_midday,mean_hl_range_norm_close,mean_hl_range_norm_close30,mean_hl_range_norm_close_over_midday,mean_hl_range_norm_open_over_midday
AAPL,4.321852274528256,0.689276555526233,4.184150357100901,1.7939408547717492,6.070350606813374,6.270128063805547,2.33913136955495,0.8369471075591679,1.3627844452831928,1.0612346145438118,1.6282802497012643,2.7948377483216107,3.42309383687244,0.8078436851573779,1.3677852542967028,1.0411124407081525,1.69313108393023,4.237322021283831
AMZN,4.938187488333864,0.6869399991381284,4.434214705474594,1.7854989226599656,6.45502476349899,7.188673675327653,2.359689050355213,0.8370724788412172,1.0768798855245232,0.9571460812259457,1.2864834440803479,2.818978176921784,3.402788922688097,0.801818554512593,1.133184412831143,0.9443738478802075,1.413267885176316,4.243839087456107
GOOGL,4.819839150439171,0.6617973482362208,5.440747010299283,2.0978951464299036,8.221167740849381,7.282953253416159,2.491222914494606,0.8385385314174444,1.08501893823124,0.9704632686027564,1.2939404661550273,2.970910484320268,3.785119948317694,0.7912919704051125,1.2366704313073835,0.985334956792451,1.5628497161095336,4.783468163312527
IWM,3.2401027366856,0.6659127260410591,4.982802364926616,2.1454864818645327,7.482665775964439,4.865656729446285,1.9040285566463229,0.8487399641780721,1.0332744011857335,0.9400122640760102,1.217421642430101,2.243359140617589,2.5794432898223487,0.8303536063013371,1.0367100167916132,0.9257595172921981,1.2485163054923722,3.1064395580962443
JPM,3.8762512563472415,0.6739573777523225,6.033387152035603,2.3366889564763436,8.952179100935455,5.7514783342452755,2.5134532388851767,0.8272417953424618,1.2289668478386149,0.9872843274836184,1.4856198692546074,3.0383537836657015,3.8000143331571623,0.7904125248610353,1.2971851093743427,0.9780016207369459,1.6411494865955023,4.807634258864071
META,4.28640946282246,0.6970988910175309,3.7310871423878416,1.6598888342361733,5.3523068110777,6.14892595305343,2.3992376852587154,0.8411022770011145,1.0437973439517119,0.9438033277274925,1.2409874191201706,2.8524922008450777,3.5978587559543613,0.8045231254379184,1.054036678752755,0.9071731829715413,1.3101384477655895,4.472038953505498
MSFT,4.575059476891726,0.6762116848661951,5.206604217932944,2.042535590010766,7.699666146649325,6.765720822758353,2.255081351872468,0.8310805042787612,1.4267580707079999,1.1017770064762054,1.7167507399853965,2.7134331033664436,3.345231892757608,0.7988612230589784,1.4317872763706068,1.0720172216968296,1.792285362015751,4.18750065242638
NVDA,3.3602391590597684,0.7346905356565583,2.2474130741243155,1.2764979480292948,3.058992820856074,4.5736796596363956,2.479663770481722,0.8330471139395342,1.071475224880968,0.9203570271882194,1.2862120364524063,2.976618883841071,3.2042545059478873,0.8073668608077859,1.0527863950096907,0.900255682202403,1.3039752386620849,3.968771399338796
QQQ,3.037423682069111,0.7033722426647568,4.263302869227426,1.8852302318561829,6.061232745090587,4.318372972128808,1.7537115050914598,0.8593532643933662,1.1932228261130275,1.0280504180798404,1.3885125891217114,2.040734093597047,2.132173434061782,0.8459783877397656,1.137720522183662,0.9955740588271137,1.3448576685550508,2.520363953692003
SPY,2.4439483767070564,0.6567952947949925,6.403327418721683,2.6461945246892653,9.749350321884345,3.721019922150772,1.4220296780007353,0.8664448512201333,1.45486116439336,1.171832174575713,1.6791157133020238,1.641223530843566,1.762153179914311,0.8552581039396565,1.3700428347020603,1.131049180296783,1.601905703542711,2.0603758933088594
TSLA,3.748274986263639,0.7287973909515074,1.9811675755095104,1.1101313125282697,2.718406514769388,5.1430960549542375,2.523544642746639,0.8420401596321476,0.8886210122651174,0.8623257212259325,1.0553190392407399,2.9969409580762405,3.234020494469182,0.8174231617273638,0.8551584329729512,0.829359784100166,1.0461636922127897,3.9563602377440694
XOM,3.384700835572685,0.653189584873219,5.770517858629959,2.6654909915859935,8.834369059558703,5.181804661244927,2.5931560331991492,0.8464400508959704,1.22188205907143,0.9556167162013177,1.4435541628471482,3.063602709316805,3.776353838972919,0.801376343799918,1.2262369849445176,0.9365899161053584,1.530163692042644,4.712335057292099
